Date,Expiry,Entry_Spot,ATM_Strike,Premium_Received,Premium_Paid_To_Close,Lot_Size,Expiry_PnL,Regime
2024-08-26,2024-08-29,50600.0,50600,57.1,-642.75,15,10497.75,Sideways
2024-09-02,2024-09-05,50850.0,50800,511.0,109.3,15,6025.5,Unknown
2024-09-09,2024-09-12,50900.0,50900,-1018.3,116.9,15,-17028.0,Unknown
2024-09-16,2024-09-19,51100.0,51100,137.35,395.85,15,-3877.5,Unknown
2024-09-23,2024-09-26,52250.0,52200,106.0,-36.5,15,2137.5,Unknown
2024-09-30,2024-10-03,52800.0,52800,79.5,72.25,15,108.75,Unknown
2024-10-07,2024-10-10,52500.0,52500,-289.0,45.75,15,-5021.25,Unknown
2024-10-14,2024-10-17,52150.0,52200,105.6,6.4,15,1488.0,Unknown
2024-10-21,2024-10-24,52100.0,52100,86.4,101.5,15,-226.5,Unknown
2024-10-28,2024-10-31,52050.0,52000,112.7,107.6,15,76.5,Unknown
2024-11-04,2024-11-07,52000.0,52000,-95.1,73.35,15,-2526.75,Unknown
2024-11-11,2024-11-14,52100.0,52100,102.15,81.1,15,315.75,Unknown
2024-11-18,2024-11-21,51900.0,51900,-1497.65,548.8,15,-30696.75,Unknown
2024-11-25,2024-11-28,51900.0,51900,865.95,-50.45,15,13746.0,Unknown
2024-12-02,2024-12-05,51850.0,51800,-3.15,-955.3,15,14282.25,Sideways
2024-12-09,2024-12-12,52250.0,52200,70.1,110.95,15,-612.75,Sideways
2024-12-16,2024-12-19,52250.0,52200,26.95,-528.5,15,8331.75,Sideways
2024-12-23,2024-12-26,52100.0,52100,50.05,83.3,15,-498.75,Sideways
